City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
447,Grafton,US,42.207,-71.6856,72.19,72,100,20.71,overcast clouds
448,San Policarpo,PH,12.1791,125.5072,80.76,83,74,6.2,broken clouds
449,Mandali,IQ,33.7499,45.5541,71.89,51,0,4.5,light rain
450,Berck,FR,50.4,1.6,53.28,93,0,5.75,clear sky
451,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
452,Hilo,US,19.7297,-155.09,68.25,83,0,3.44,clear sky
453,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
454,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,75,10.36,broken clouds
455,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
456,Kaitangata,NZ,-46.2817,169.8464,45.27,68,85,4.27,overcast clouds
457,Bagdarin,RU,54.4333,113.6,10.6,85,17,3.04,few clouds
458,Darnah,LY,32.767,22.6367,66.18,62,14,7.72,few clouds
459,Carnarvon,AU,-24.8667,113.6333,66.33,56,0,27.83,clear sky
460,Ancud,CL,-41.8697,-73.8203,54.59,92,97,6.93,light rain
461,Ushuaia,AR,-54.8,-68.3,56.82,47,0,6.91,clear sky
462,Sisimiut,GL,66.9395,-53.6735,15.37,83,56,8.88,broken clouds
463,Mahebourg,MU,-20.4081,57.7,73.69,68,20,3.44,few clouds
464,Inuvik,CA,68.3499,-133.7218,23.76,79,75,8.05,broken clouds
465,Cidreira,BR,-30.1811,-50.2056,70.75,82,49,9.15,scattered clouds
466,Bluff,NZ,-46.6,168.3333,48.79,89,82,8.46,broken clouds
467,Hervey Bay,AU,-25.2986,152.8535,71.46,69,0,9.22,clear sky
468,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
469,Lebu,CL,-37.6167,-73.65,60.1,65,100,11.79,light rain
470,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
471,Padre Paraiso,BR,-17.0742,-41.4844,77.79,68,100,5.17,overcast clouds
472,Port Elizabeth,ZA,-33.918,25.5701,70.11,94,40,17.27,scattered clouds
473,Georgetown,MY,5.4112,100.3354,80.24,90,40,0.0,thunderstorm with light rain
474,Albany,US,42.6001,-73.9662,61.05,79,100,3.0,overcast clouds
475,Penzance,GB,50.1186,-5.5371,59.68,94,33,17.72,scattered clouds
